kenpom_name,adj_em
Ohio,-5.57
Western Carolina,-5.59
Elon,-5.73
Long Beach St.,-5.77
Southeast Missouri,-5.84
La Salle,-5.88
Denver,-6.0
Georgia Southern,-6.05
Nicholls,-6.24
Lamar,-6.3
American,-6.31
Eastern Michigan,-6.39
Vermont,-6.45
Charleston Southern,-6.48
Abilene Christian,-6.56
Bethune Cookman,-6.6
Florida Gulf Coast,-6.61
Texas St.,-6.65
UNC Asheville,-6.75
Coastal Carolina,-6.86
Old Dominion,-7.0
Colgate,-7.02
Idaho St.,-7.08
Southern Utah,-7.14
Princeton,-7.15
Wofford,-7.35
East Carolina,-7.43
Saint Peter's,-7.51
SIUE,-7.59
Radford,-7.67
UC Riverside,-7.69
Iona,-7.72
Purdue Fort Wayne,-7.83
Boston University,-8.0
Nebraska Omaha,-8.01
Fairfield,-8.1
Pepperdine,-8.15
Sacramento St.,-8.3
Incarnate Word,-8.49
Lindenwood,-8.51
Milwaukee,-8.85
Central Michigan,-9.04
Presbyterian,-9.07
Longwood,-9.12
Hampton,-9.19
Western Michigan,-9.23
Dartmouth,-9.36
North Dakota,-9.51
UTEP,-9.58
Mount St. Mary's,-9.61
Bellarmine,-9.66
Southern,-9.75
Loyola Chicago,-10.17
Northwestern St.,-10.21
South Dakota,-10.27
Morehead St.,-10.35
Lehigh,-10.37
Southeastern Louisiana,-10.58
Northeastern,-10.6
Mercyhurst,-10.67
Prairie View A&M,-10.69
East Texas A&M,-10.83
Brown,-10.85
North Carolina A&T,-10.98
Houston Christian,-11.14
Delaware,-11.27
Ball St.,-11.31
Jacksonville,-11.47
Sacred Heart,-11.56
Eastern Kentucky,-11.66
Grambling St.,-11.78
Le Moyne,-11.81
UNC Greensboro,-12.22
Chattanooga,-12.27
USC Upstate,-12.4
Stetson,-12.55
West Georgia,-12.55
Wagner,-12.68
Central Connecticut,-12.71
Alabama A&M,-12.73
Evansville,-12.85
Oral Roberts,-12.9
Georgia St.,-12.94
Little Rock,-12.96
Florida A&M,-13.01
Louisiana,-13.28
Arkansas Pine Bluff,-13.31
Tennessee Tech,-13.33
Texas Southern,-13.35
IU Indy,-13.89
Alabama St.,-14.43
Northern Arizona,-14.48
Cleveland St.,-14.62
UMass Lowell,-14.62
Loyola MD,-14.81
Eastern Illinois,-14.86
Albany,-14.94
Lafayette,-15.18
Cal St. Bakersfield,-15.28
Norfolk St.,-15.38
New Haven,-16.09
Holy Cross,-16.42
Manhattan,-16.46
Bucknell,-16.62
NJIT,-16.85
Northern Illinois,-17.23
Stonehill,-17.32
North Florida,-17.47
Fairleigh Dickinson,-17.63
Army,-18.39
Niagara,-18.48
Southern Indiana,-18.61
UTSA,-18.65
Jackson St.,-18.86
Canisius,-19.22
North Alabama,-19.27
Chicago St.,-19.58
Air Force,-19.95
Alcorn St.,-20.17
The Citadel,-20.29
Maine,-20.33
New Hampshire,-20.71
Maryland Eastern Shore,-20.85
Louisiana Monroe,-21.05
North Carolina Central,-21.14
Morgan St.,-21.78
Saint Francis,-22.26
Bryant,-23.01
South Carolina St.,-23.55
Rider,-24.43
Kansas City,-25.1
Binghamton,-25.5
VMI,-26.28
Gardner Webb,-26.42
Delaware St.,-27.27
Coppin St.,-27.57
Western Illinois,-28.47
Mississippi Valley St.,-31.33
