,,,FTA,FTA,FTA,FTA,FTA,FTA,FGM,FGM,FGM,FGM,FGM,FGM,TREY_M,TREY_M,TREY_M,TREY_M,TREY_M,TREY_M,MIN,MIN,MIN,MIN,MIN,MIN,FTM,FTM,FTM,FTM,FTM,FTM,PTS,PTS,PTS,PTS,PTS,PTS,FGA,FGA,FGA,FGA,FGA,FGA,TREY_A,TREY_A,TREY_A,TREY_A,TREY_A,TREY_A
,,,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero
team_id,team_name_x,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Colorado,J. Fortune,2.23076923077,0,9,2.58694949551,29,8,3.76923076923,1,6,1.73943698525,49,13,1.53846153846,0,5,1.45002210416,20,10,22.5384615385,14,32,5.45611865425,293,13,1.61538461538,0,7,2.06310694255,21,8,10.6923076923,3,21,4.95621857509,139,13,9.76923076923,6,17,3.67772226054,127,13,4.38461538462,1,9,2.43373723378,57,13
38,Colorado,J. Repine,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1.0,1,1,0.0,2,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
38,Colorado,J. Scott,5.09090909091,0,10,3.11302250087,56,10,5.0,0,10,2.64575131106,55,10,0.0,0,0,0.0,0,0,29.0,16,37,6.32455532034,319,11,3.63636363636,0,8,2.54057974772,40,10,13.6363636364,1,26,6.69735361576,150,11,11.5454545455,3,18,4.43539482715,127,11,0.181818181818,0,1,0.404519917478,2,2
38,Colorado,K. Guzonjic,0.5,0,2,1.0,2,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,2.5,2,3,0.57735026919,10,4,0.25,0,1,0.5,1,1,0.25,0,1,0.5,1,1,0.25,0,1,0.5,1,1,0.0,0,0,0.0,0,0
38,Colorado,M. Lombard,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1.0,1,1,0.0,2,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.5,0,1,0.707106781187,1,1,0.0,0,0,0.0,0,0
38,Colorado,T. Akyazili,0.833333333333,0,4,1.40345893053,10,4,1.5,0,4,1.44599761096,18,8,0.333333333333,0,1,0.492365963917,4,4,15.9166666667,7,38,8.78488716059,191,12,0.583333333333,0,3,0.996204919896,7,4,3.91666666667,0,10,3.8247598459,47,9,4.25,1,8,2.80016233296,51,12,1.75,0,3,1.13818036596,21,10
38,Colorado,T. Fletcher,1.69230769231,0,4,1.4366984945,22,9,2.23076923077,0,6,1.69085018821,29,12,1.23076923077,0,3,1.01273936708,16,10,17.7692307692,6,22,4.34269206357,231,13,1.46153846154,0,4,1.33012434352,19,8,7.15384615385,2,15,4.33678363626,93,13,5.30769230769,2,9,1.88788309069,69,13,2.76923076923,1,5,1.0919284282,36,13
38,Colorado,T. Miller,2.38461538462,0,7,1.93814608748,31,10,2.23076923077,0,5,1.42325016271,29,12,0.0,0,0,0.0,0,0,17.7692307692,9,27,4.45634091593,231,13,1.61538461538,0,4,1.32529629005,21,10,6.07692307692,1,12,3.49908412925,79,13,5.46153846154,2,11,2.25888558864,71,13,0.153846153846,0,1,0.375533808099,2,2
38,Colorado,W. Gordon,3.76923076923,0,11,3.26990943182,49,10,2.46153846154,0,6,1.89804217618,32,11,0.153846153846,0,1,0.375533808099,2,2,29.7692307692,24,45,5.29392491689,387,13,2.61538461538,0,9,2.56704958849,34,10,7.69230769231,0,17,5.31326351979,100,12,5.61538461538,3,9,1.93814608748,73,13,0.384615384615,0,1,0.506369683542,5,5
38,Colorado,X. Talton,1.38461538462,0,4,1.6602440352,18,7,1.76923076923,0,4,1.48064435038,23,10,1.07692307692,0,4,1.25575597825,14,8,26.5384615385,20,44,6.18621295861,345,13,1.15384615385,0,4,1.57300952774,15,6,5.76923076923,0,13,4.04462289453,75,11,4.92307692308,1,8,2.21590983803,64,13,2.46153846154,0,6,1.56073618395,32,12
