player_team,0,1,2,3,4,5,6
Virginia Cavaliers - Desmond Roberts,,,,done,done,done,done
Virginia Cavaliers - Elijah Gertrude,,,,done,done,done,done
Virginia Cavaliers - Martin Carrere,,,,done,done,done,done
Virginia Cavaliers - Owen Odom,,,,done,done,done,done
Wisconsin Badgers - Hayden Jones,,,done,done,done,done,done
Wisconsin Badgers - Isaac Gard,,,done,done,done,done,done
Wisconsin Badgers - Jack Janicki,,,done,done,done,done,done
Wisconsin Badgers - Jack Robison,,,done,done,done,done,done
Wisconsin Badgers - Riccardo Greppi,,,done,done,done,done,done
Wisconsin Badgers - Will Garlock,,,done,done,done,done,done
Wisconsin Badgers - Zach Kinziger,,,done,done,done,done,done
Utah State Aggies - Jordy Barnes,,,,done,done,done,done
Utah State Aggies - Luke Kearney,,,,done,done,done,done
Utah State Aggies - Tucker Anderson,,,,done,done,done,done
Alabama Crimson Tide - Aden Holloway,,,,,done,done,done
Alabama Crimson Tide - Charles Bediako,,,,,done,done,done
Alabama Crimson Tide - Collins Onyejiaka,,,,,done,done,done
Alabama Crimson Tide - Davion Hannah,,,,,done,done,done
Alabama Crimson Tide - Jack Fagan,,,,,done,done,done
Alabama Crimson Tide - Keitenn Bristow,,,,,done,done,done
Alabama Crimson Tide - Klark James,,,,,done,done,done
Kennesaw State Owls - Charles Stone,,,done,done,done,done,done
Kennesaw State Owls - Darius Washington III,,,done,done,done,done,done
Kennesaw State Owls - Davin Cosby Jr.,,,done,done,done,done,done
Kennesaw State Owls - Dozie Onyirimba,,,done,done,done,done,done
Kennesaw State Owls - Eric Holland,,,done,done,done,done,done
Kennesaw State Owls - Ramone Seals,,,done,done,done,done,done
Kennesaw State Owls - Simeon Cottle,,,done,done,done,done,done
Illinois Fighting Illini - Jason Jakstys,,,,,,,
Akron Zips - Chabi Barre,,,done,done,done,done,done
Akron Zips - Conner Groce,,,done,done,done,done,done
Akron Zips - Ognjen Stankovic,,,done,done,done,done,done
Akron Zips - Rich Brisco,,,done,done,done,done,done
UCF Knights - Jeremy Foumena,,,done,done,done,done,done
UCF Knights - Kris Parker,,,done,done,done,done,done
UCF Knights - Poohpha Warakulnukroh,,,done,done,done,done,done
UCF Knights - Zach Johnson,,,done,done,done,done,done
Gonzaga Bulldogs - Braden Huff,,,,done,done,done,done
Gonzaga Bulldogs - Cade Orness,,,,done,done,done,done
Gonzaga Bulldogs - Joaquim ArauzMoore,,,,done,done,done,done
Gonzaga Bulldogs - Noah Haaland,,,,done,done,done,done
Gonzaga Bulldogs - Steele Venters,,,,done,done,done,done
High Point Panthers - Babacar Diallo,,,,done,done,done,done
High Point Panthers - Birgir Irving,,,,done,done,done,done
High Point Panthers - Caden Miller,,,,done,done,done,done
High Point Panthers - David Fonville,,,,done,done,done,done
High Point Panthers - Josh Ibukunoluwa,,,,done,done,done,done
Hofstra Pride - A.J. Wills,,,done,done,done,done,done
Hofstra Pride - Alex Tsynkevich,,,done,done,done,done,done
Hofstra Pride - Amir Williams,,,done,done,done,done,done
Hofstra Pride - Jaeden Roberts,,,done,done,done,done,done
Iowa Hawkeyes - Brendan Hausen,,,,,,done,done
Iowa Hawkeyes - Jacob Koch,,,,,,done,done
Iowa Hawkeyes - Joey Matteoni,,,,,,done,done
Kansas Jayhawks - Jayden Dawson,,,,done,done,done,done
Kansas Jayhawks - Justin Cross,,,,done,done,done,done
Kansas Jayhawks - Nginyu Ngala,,,,done,done,done,done
Kansas Jayhawks - Samis Calderon,,,,done,done,done,done
Kansas Jayhawks - Wilder Evers,,,,done,done,done,done
Kansas Jayhawks - Will Thengvall,,,,done,done,done,done
McNeese Cowboys - JJ Rembert,,,done,done,done,done,done
UMBC Retrievers - Daylon Dickerson,,done,done,done,done,done,done
UMBC Retrievers - Devin Ceaser,,done,done,done,done,done,done
UMBC Retrievers - Jake Stout,,done,done,done,done,done,done
UMBC Retrievers - Saahil Thakkar,,done,done,done,done,done,done
UMBC Retrievers - Tim Eze,,done,done,done,done,done,done
Miami Hurricanes - John Laboy II,,,,done,done,done,done
Miami Hurricanes - Jordyn Kee,,,,done,done,done,done
Miami Hurricanes - Marcus Allen,,,,done,done,done,done
Miami Hurricanes - Salih Altuntas,,,,done,done,done,done
Northern Iowa Panthers - Chase Courbat,,,done,done,done,done,done
Northern Iowa Panthers - Hunter Jacobson,,,done,done,done,done,done
Northern Iowa Panthers - Kyle Pock,,,done,done,done,done,done
Prairie View A&M Panthers - Doug Young,,,done,done,done,done,done
Prairie View A&M Panthers - Isaiah Foster,,,done,done,done,done,done
Prairie View A&M Panthers - Marcel Bryant,,,done,done,done,done,done
Prairie View A&M Panthers - Ryan Bolton Jr.,,,done,done,done,done,done
Prairie View A&M Panthers - Seryee Lewis,,,done,done,done,done,done
Purdue Boilermakers - Aaron Fine,,,,,,done,done
Purdue Boilermakers - Jace Rayl,,,,,,done,done
Purdue Boilermakers - Jack Lusk,,,,,,done,done
Queens University Royals - Tyler Crider,,,done,done,done,done,done
Santa Clara Broncos - Brendan Yarusso,,,done,done,done,done,done
Santa Clara Broncos - Francis Chukwudebelu,,,done,done,done,done,done
Siena Saints - Antonio Chandler,,,done,done,done,done,done
Siena Saints - Chris Torres,,,done,done,done,done,done
Siena Saints - Christian Jones,,,done,done,done,done,done
Siena Saints - Cooper Nadler,,,done,done,done,done,done
Siena Saints - Danny Murray,,,done,done,done,done,done
Siena Saints - Isaiah Henderson,,,done,done,done,done,done
Siena Saints - Marcus Jackson,,,done,done,done,done,done
Siena Saints - Mosi Clayton,,,done,done,done,done,done
Siena Saints - Owen Schlager,,,done,done,done,done,done
Siena Saints - Tajae Jones,,,done,done,done,done,done
Siena Saints - Tasman Goodrick,,,done,done,done,done,done
SMU Mustangs - B.J. Edwards,,done,done,done,done,done,done
SMU Mustangs - Niccolo Kalischer-Stork,,done,done,done,done,done,done
SMU Mustangs - Nigel Walls,,done,done,done,done,done,done
SMU Mustangs - Trey Utter,,done,done,done,done,done,done
St. John's Red Storm - Casper Pohto,,,,,done,done,done
St. John's Red Storm - Fotis Konstantinidis,,,,,done,done,done
St. John's Red Storm - Handje Tamba,,,,,done,done,done
St. John's Red Storm - Kelvin Odih,,,,,done,done,done
Saint Mary's Gaels - Cade Bennett,,,done,done,done,done,done
Saint Mary's Gaels - Kevin Gad,,,done,done,done,done,done
TCU Horned Frogs - Adam Stewart,,,,done,done,done,done
TCU Horned Frogs - Drew McElroy,,,,done,done,done,done
TCU Horned Frogs - Malick Diallo,,,,done,done,done,done
TCU Horned Frogs - Trey Stuart,,,,done,done,done,done
Tennessee Volunteers - Cade Phillips,,,,,,done,done
Tennessee Volunteers - Campbell Duncan,,,,,,done,done
Tennessee Volunteers - Gavin Paull,,,,,,done,done
Tennessee Volunteers - Grant Hurst,,,,,,done,done
Tennessee State Tigers - Jayden Jones,,,done,done,done,done,done
Tennessee State Tigers - Jean Yvens Lafleur,,,done,done,done,done,done
Tennessee State Tigers - Khalil London,,,done,done,done,done,done
Texas Tech Red Raiders - JT Toppin,,,,done,done,done,done
Troy Trojans - Hikaru Awata,,,done,done,done,done,done
Troy Trojans - Kameryn Mitchell,,,done,done,done,done,done
VCU Rams - Christian Fermin,,,,done,done,done,done
Wright State Raiders - Alex Bruskotter,,,done,done,done,done,done
Wright State Raiders - Ayden Davis,,,done,done,done,done,done
Wright State Raiders - Bryan Etumnu,,,done,done,done,done,done
California Baptist Lancers - Jalen Dollar,,,done,done,done,done,done
California Baptist Lancers - Monty Bowser,,,done,done,done,done,done
California Baptist Lancers - Nate Garcia,,,done,done,done,done,done
California Baptist Lancers - Rene D'Amelio,,,done,done,done,done,done
Long Island University Sharks - Faheim Meran,,,done,done,done,done,done
