player_team,0,1,2,3,4,5,6
Hofstra Pride - Cruz Davis,,14.0,done,done,done,done,done
Hofstra Pride - German Plotnikov,,12.0,done,done,done,done,done
Hofstra Pride - Joshua Aaron Reaves,,3.0,done,done,done,done,done
Hofstra Pride - Joshua DeCady,,2.0,done,done,done,done,done
Hofstra Pride - Preston Edmead,,24.0,done,done,done,done,done
Hofstra Pride - Silas Sunday,,0.0,done,done,done,done,done
Hofstra Pride - Victory Onuetu,,4.0,done,done,done,done,done
Houston Cougars - Cedric Lath,,0.0,0.0,,done,done,done
Houston Cougars - Chase McCarty,,2.0,6.0,9.0,done,done,done
Houston Cougars - Chris Cenac Jr.,,7.0,17.0,6.0,done,done,done
Houston Cougars - Emanuel Sharp,,16.0,18.0,17.0,done,done,done
Houston Cougars - Isiah Harwell,,0.0,0.0,,done,done,done
Houston Cougars - Jacob McFarland,,,0.0,,done,done,done
Houston Cougars - Joseph Tugler,,13.0,6.0,6.0,done,done,done
Houston Cougars - Kalifa Sakho,,0.0,4.0,0.0,done,done,done
Houston Cougars - Kingston Flemings,,18.0,9.0,11.0,done,done,done
Houston Cougars - Mercy Miller,,10.0,12.0,0.0,done,done,done
Houston Cougars - Milos Uzan,,12.0,15.0,6.0,done,done,done
Houston Cougars - Ramon Walker Jr.,,0.0,1.0,,done,done,done
Howard Bison - Alex Cotton,8.0,3.0,done,done,done,done,done
Howard Bison - BJ Powell,,2.0,done,done,done,done,done
Howard Bison - Bryce Harris,19.0,21.0,done,done,done,done,done
Howard Bison - Calvin Robins Jr.,0.0,0.0,done,done,done,done,done
Howard Bison - Cam Gillus,8.0,21.0,done,done,done,done,done
Howard Bison - Cedric Taylor III,16.0,19.0,done,done,done,done,done
Howard Bison - Danas Kazakevicius,0.0,0.0,done,done,done,done,done
Howard Bison - Ed Holland III,,0.0,done,done,done,done,done
Howard Bison - Isaiah Brown,1.0,0.0,done,done,done,done,done
Howard Bison - Jeremiah Johnson,,0.0,done,done,done,done,done
Howard Bison - Julian Johnson,,0.0,done,done,done,done,done
Howard Bison - Ose Okojie,23.0,7.0,done,done,done,done,done
Howard Bison - Travelle Bryson,11.0,7.0,done,done,done,done,done
Idaho Vandals - Aidan Sevilla,,0.0,done,done,done,done,done
Idaho Vandals - Biko Johnson,,8.0,done,done,done,done,done
Idaho Vandals - Brody Rowbury,,3.0,done,done,done,done,done
Idaho Vandals - Ewan Steele,,0.0,done,done,done,done,done
Idaho Vandals - Isaiah Brickner,,4.0,done,done,done,done,done
Idaho Vandals - Jack Payne,,3.0,done,done,done,done,done
Idaho Vandals - Jackson Rasmussen,,5.0,done,done,done,done,done
Idaho Vandals - Kolton Mitchell,,14.0,done,done,done,done,done
Idaho Vandals - Miles Klapper,,2.0,done,done,done,done,done
Idaho Vandals - Seth Joba,,0.0,done,done,done,done,done
Idaho Vandals - Trevon Blassingame,,8.0,done,done,done,done,done
Illinois Fighting Illini - AJ Redd,,2.0,0.0,,,,
Illinois Fighting Illini - Andrej Stojakovic,,9.0,21.0,13.0,17.0,,
Illinois Fighting Illini - Ben Humrichous,,12.0,3.0,3.0,0.0,,
Illinois Fighting Illini - Blake Fagbemi,,0.0,0.0,,,,
Illinois Fighting Illini - Brandon Lee,,4.0,0.0,,,,
Illinois Fighting Illini - David Mirkovic,,29.0,7.0,14.0,9.0,,
Illinois Fighting Illini - Jake Davis,,0.0,3.0,5.0,1.0,,
Illinois Fighting Illini - Keaton Wagler,,18.0,14.0,13.0,25.0,,
Illinois Fighting Illini - Kylan Boswell,,13.0,12.0,6.0,2.0,,
Illinois Fighting Illini - Mihailo Petrovic,,0.0,0.0,,,,
Illinois Fighting Illini - Tomislav Ivisic,,12.0,14.0,9.0,13.0,,
Illinois Fighting Illini - Zvonimir Ivisic,,6.0,2.0,2.0,4.0,,
Iowa Hawkeyes - Alvaro Folgueiras,,14.0,14.0,16.0,0.0,done,done
Iowa Hawkeyes - Bennett Stirtz,,16.0,13.0,20.0,24.0,done,done
Iowa Hawkeyes - Cam Manyawu,,1.0,6.0,0.0,4.0,done,done
Iowa Hawkeyes - Cooper Koch,,8.0,12.0,11.0,6.0,done,done
Iowa Hawkeyes - Isaia Howard,,0.0,0.0,3.0,5.0,done,done
Iowa Hawkeyes - Kael Combs,,15.0,6.0,6.0,5.0,done,done
Iowa Hawkeyes - Tate Sage,,7.0,2.0,19.0,10.0,done,done
Iowa Hawkeyes - Tavion Banks,,6.0,20.0,2.0,5.0,done,done
Iowa Hawkeyes - Trevin Jirak,,,0.0,,,done,done
Iowa State Cyclones - Anthony Rise,,0.0,,,done,done,done
Iowa State Cyclones - Blake Buchanan,,11.0,9.0,8.0,done,done,done
Iowa State Cyclones - Cade Kelderman,,0.0,,,done,done,done
Iowa State Cyclones - Dominick Nelson,,9.0,1.0,0.0,done,done,done
Iowa State Cyclones - Dominykas Pleta,,9.0,1.0,1.0,done,done,done
Iowa State Cyclones - Eric Mulder,,2.0,,,done,done,done
Iowa State Cyclones - Jamarion Batemon,,8.0,3.0,2.0,done,done,done
Iowa State Cyclones - Joshua Jefferson,,2.0,,,done,done,done
Iowa State Cyclones - Killyan Toure,,25.0,10.0,9.0,done,done,done
Iowa State Cyclones - Milan Momcilovic,,17.0,20.0,6.0,done,done,done
Iowa State Cyclones - Nate Heise,,22.0,12.0,18.0,done,done,done
Iowa State Cyclones - Tamin Lipsey,,3.0,26.0,18.0,done,done,done
Kansas Jayhawks - Bryson Tiller,,6.0,0.0,done,done,done,done
Kansas Jayhawks - Darryn Peterson,,28.0,21.0,done,done,done,done
Kansas Jayhawks - Elmarko Jackson,,4.0,4.0,done,done,done,done
Kansas Jayhawks - Flory Bidunga,,6.0,12.0,done,done,done,done
Kansas Jayhawks - Jamari McDowell,,0.0,0.0,done,done,done,done
Kansas Jayhawks - Kohl Rosario,,,5.0,done,done,done,done
Kansas Jayhawks - Melvin Council Jr.,,4.0,15.0,done,done,done,done
Kansas Jayhawks - Paul Mbiya,,8.0,4.0,done,done,done,done
Kansas Jayhawks - Tre White,,12.0,4.0,done,done,done,done
Kennesaw State Owls - Amir Taylor,,15.0,done,done,done,done,done
Kennesaw State Owls - Braedan Lue,,5.0,done,done,done,done,done
Kennesaw State Owls - Frankquon Sherman,,13.0,done,done,done,done,done
Kennesaw State Owls - Jaden Harris,,0.0,done,done,done,done,done
Kennesaw State Owls - Kaden Rickard,,14.0,done,done,done,done,done
Kennesaw State Owls - Perry Smith Jr.,,0.0,done,done,done,done,done
Kennesaw State Owls - RJ Johnson,,15.0,done,done,done,done,done
Kennesaw State Owls - Trey Simpson,,2.0,done,done,done,done,done
Kentucky Wildcats - Andrija Jelavic,,0.0,2.0,done,done,done,done
Kentucky Wildcats - Brandon Garrison,,10.0,1.0,done,done,done,done
Kentucky Wildcats - Collin Chandler,,5.0,6.0,done,done,done,done
Kentucky Wildcats - Denzel Aberdeen,,16.0,20.0,done,done,done,done
Kentucky Wildcats - Jasper Johnson,,0.0,3.0,done,done,done,done
Kentucky Wildcats - Kam Williams,,3.0,5.0,done,done,done,done
Kentucky Wildcats - Malachi Moreno,,3.0,4.0,done,done,done,done
Kentucky Wildcats - Mouhamed Dioubate,,17.0,4.0,done,done,done,done
Kentucky Wildcats - Otega Oweh,,35.0,18.0,done,done,done,done
Lehigh Mountain Hawks - Alfredo Addesa,2.0,done,done,done,done,done,done
Lehigh Mountain Hawks - Andrew Urosevic,8.0,done,done,done,done,done,done
Lehigh Mountain Hawks - Brendan Reed,0.0,done,done,done,done,done,done
Lehigh Mountain Hawks - Caleb Thomas,0.0,done,done,done,done,done,done
Lehigh Mountain Hawks - Edouard Benoit,8.0,done,done,done,done,done,done
Lehigh Mountain Hawks - Hank Alvey,23.0,done,done,done,done,done,done
Lehigh Mountain Hawks - Henri Adiassa,0.0,done,done,done,done,done,done
Lehigh Mountain Hawks - Jake Pike,0.0,done,done,done,done,done,done
Lehigh Mountain Hawks - Jalen Vazquez,2.0,done,done,done,done,done,done
Lehigh Mountain Hawks - Joshua Ingram,7.0,done,done,done,done,done,done
Lehigh Mountain Hawks - Nasir Whitlock,5.0,done,done,done,done,done,done
Lehigh Mountain Hawks - Peter Kramer,0.0,done,done,done,done,done,done
Lehigh Mountain Hawks - Tommy Conniff,0.0,done,done,done,done,done,done
Long Island University Sharks - A.J. Neal Jr.,,0.0,done,done,done,done,done
Long Island University Sharks - Caleb Johnson,,7.0,done,done,done,done,done
