team_player,team_name,player,seed,weighted_ppg,actual_pts,live_exp_remaining,live_proj
Utah State Aggies - MJ Collins Jr.,Utah State Aggies,MJ Collins Jr.,9,17.8,32.0,0.0,32.0
UCLA Bruins - Eric Dailey Jr.,UCLA Bruins,Eric Dailey Jr.,7,11.81,32.0,0.0,32.0
Virginia Cavaliers - Thijs De Ridder,Virginia Cavaliers,Thijs De Ridder,3,14.97,32.0,0.0,32.0
Saint Louis Billikens - Dion Brown,Saint Louis Billikens,Dion Brown,9,10.85,31.0,0.0,31.0
Nebraska Cornhuskers - Jamarques Lawrence,Nebraska Cornhuskers,Jamarques Lawrence,4,8.98,31.0,0.0,31.0
Duke Blue Devils - Patrick Ngongba II,Duke Blue Devils,Patrick Ngongba II,1,10.43,7.0,2.301,31.0
Tennessee Volunteers - Jaylen Carey,Tennessee Volunteers,Jaylen Carey,6,7.82,21.0,1.189,30.3
Miami Hurricanes - Tre Donaldson,Miami Hurricanes,Tre Donaldson,7,16.5,30.0,0.0,30.0
Houston Cougars - Chris Cenac Jr.,Houston Cougars,Chris Cenac Jr.,2,9.22,30.0,0.0,30.0
High Point Panthers - Terry Anderson,High Point Panthers,Terry Anderson,12,17.06,30.0,0.0,30.0
Texas Tech Red Raiders - LeJuan Watts,Texas Tech Red Raiders,LeJuan Watts,5,10.14,30.0,0.0,30.0
Georgia Bulldogs - Jeremiah Wilkinson,Georgia Bulldogs,Jeremiah Wilkinson,8,16.88,30.0,0.0,30.0
Utah State Aggies - Mason Falslev,Utah State Aggies,Mason Falslev,9,15.87,30.0,0.0,30.0
Texas A&M Aggies - Rashaun Agee,Texas A&M Aggies,Rashaun Agee,10,13.87,29.0,0.0,29.0
Duke Blue Devils - Caleb Foster,Duke Blue Devils,Caleb Foster,1,7.82,11.0,2.301,29.0
Tennessee Volunteers - Bishop Boswell,Tennessee Volunteers,Bishop Boswell,6,5.56,22.0,1.189,28.6
Vanderbilt Commodores - Tyler Nickel,Vanderbilt Commodores,Tyler Nickel,5,13.15,28.0,0.0,28.0
UCLA Bruins - Xavier Booker,UCLA Bruins,Xavier Booker,7,6.41,28.0,0.0,28.0
St. John's Red Storm - Dillon Mitchell,St. John's Red Storm,Dillon Mitchell,5,7.63,28.0,0.0,28.0
TCU Horned Frogs - Xavier Edmonds,TCU Horned Frogs,Xavier Edmonds,9,13.2,28.0,0.0,28.0
Iowa State Cyclones - Blake Buchanan,Iowa State Cyclones,Blake Buchanan,2,8.63,28.0,0.0,28.0
Duke Blue Devils - Nikolas Khamenia,Duke Blue Devils,Nikolas Khamenia,1,6.18,13.0,2.301,27.2
Miami (OH) RedHawks - Peter Suder,Miami (OH) RedHawks,Peter Suder,11,14.55,27.0,0.0,27.0
Alabama Crimson Tide - Amari Allen,Alabama Crimson Tide,Amari Allen,4,10.54,27.0,0.0,27.0
Florida Gators - Xaivian Lee,Florida Gators,Xaivian Lee,1,12.14,27.0,0.0,27.0
Wisconsin Badgers - Nick Boyd,Wisconsin Badgers,Nick Boyd,5,21.68,27.0,0.0,27.0
Texas Tech Red Raiders - Donovan Atwell,Texas Tech Red Raiders,Donovan Atwell,5,14.8,27.0,0.0,27.0
South Florida Bulls - Joseph Pinion,South Florida Bulls,Joseph Pinion,11,13.7,27.0,0.0,27.0
Saint Louis Billikens - Amari McCottry,Saint Louis Billikens,Amari McCottry,9,9.88,27.0,0.0,27.0
Illinois Fighting Illini - Ben Humrichous,Illinois Fighting Illini,Ben Humrichous,3,6.5,18.0,1.368,26.9
Akron Zips - Amani Lyles,Akron Zips,Amani Lyles,12,13.97,26.0,0.0,26.0
North Carolina Tar Heels - Henri Veesaar,North Carolina Tar Heels,Henri Veesaar,6,16.87,26.0,0.0,26.0
St. John's Red Storm - Ruben Prey,St. John's Red Storm,Ruben Prey,5,3.63,25.0,0.0,25.0
California Baptist Lancers - Dominique Daniels Jr.,California Baptist Lancers,Dominique Daniels Jr.,13,23.06,25.0,0.0,25.0
Villanova Wildcats - Bryce Lindsay,Villanova Wildcats,Bryce Lindsay,8,11.87,25.0,0.0,25.0
Houston Cougars - Joseph Tugler,Houston Cougars,Joseph Tugler,2,9.52,25.0,0.0,25.0
Texas Tech Red Raiders - Christian Anderson,Texas Tech Red Raiders,Christian Anderson,5,18.18,25.0,0.0,25.0
St. John's Red Storm - Ian Jackson,St. John's Red Storm,Ian Jackson,5,8.39,24.0,0.0,24.0
Hofstra Pride - Preston Edmead,Hofstra Pride,Preston Edmead,13,16.25,24.0,0.0,24.0
Illinois Fighting Illini - Zvonimir Ivisic,Illinois Fighting Illini,Zvonimir Ivisic,3,6.86,14.0,1.368,23.4
Michigan State Spartans - Trey Fort,Michigan State Spartans,Trey Fort,3,4.76,23.0,0.0,23.0
Gonzaga Bulldogs - Davis Fogle,Gonzaga Bulldogs,Davis Fogle,3,8.91,23.0,0.0,23.0
Alabama Crimson Tide - Taylor Bol Bowen,Alabama Crimson Tide,Taylor Bol Bowen,4,6.95,23.0,0.0,23.0
Nebraska Cornhuskers - Berke Buyuktuncel,Nebraska Cornhuskers,Berke Buyuktuncel,4,6.81,23.0,0.0,23.0
Florida Gators - Boogie Fland,Florida Gators,Boogie Fland,1,11.51,23.0,0.0,23.0
High Point Panthers - Chase Johnston,High Point Panthers,Chase Johnston,12,5.25,23.0,0.0,23.0
Virginia Cavaliers - Malik Thomas,Virginia Cavaliers,Malik Thomas,3,12.63,23.0,0.0,23.0
Texas Tech Red Raiders - Josiah Moseley,Texas Tech Red Raiders,Josiah Moseley,5,4.98,22.0,0.0,22.0
Utah State Aggies - Drake Allen,Utah State Aggies,Drake Allen,9,8.61,22.0,0.0,22.0
Houston Cougars - Mercy Miller,Houston Cougars,Mercy Miller,2,5.17,22.0,0.0,22.0
Vanderbilt Commodores - Duke Miles,Vanderbilt Commodores,Duke Miles,5,17.65,22.0,0.0,22.0
Wisconsin Badgers - John Blackwell,Wisconsin Badgers,John Blackwell,5,20.87,22.0,0.0,22.0
