,,,FTA,FTA,FTA,FTA,FTA,FTA,FGM,FGM,FGM,FGM,FGM,FGM,TREY_M,TREY_M,TREY_M,TREY_M,TREY_M,TREY_M,MIN,MIN,MIN,MIN,MIN,MIN,FTM,FTM,FTM,FTM,FTM,FTM,PTS,PTS,PTS,PTS,PTS,PTS,FGA,FGA,FGA,FGA,FGA,FGA,TREY_A,TREY_A,TREY_A,TREY_A,TREY_A,TREY_A
,,,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero
team_id,team_name_x,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Indiana,N. Zeisloft,1.0,0,3,1.12815214964,12,6,2.08333333333,0,4,1.56427928995,25,9,1.83333333333,0,4,1.46680440125,22,9,22.0833333333,9,34,8.67030809281,265,12,1.0,0,3,1.12815214964,12,6,7.0,0,14,4.67099366497,84,11,4.75,1,8,2.09436473337,57,12,4.25,1,7,2.05049883066,51,12
84,Indiana,O. Anunoby,1.75,0,6,1.71225529108,21,9,2.33333333333,0,6,1.92275055506,28,10,0.166666666667,0,1,0.389249472081,2,2,17.3333333333,9,27,5.14045157785,208,12,0.75,0,4,1.28805702866,9,4,5.58333333333,0,13,4.27377485546,67,10,4.41666666667,1,10,2.60971378902,53,12,0.916666666667,0,2,0.900336637379,11,7
84,Indiana,R. Burton,0.125,0,1,0.353553390593,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1.875,0,5,1.80772153355,15,6,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.125,0,1,0.353553390593,1,1,0.125,0,1,0.353553390593,1,1
84,Indiana,R. Johnson,1.375,0,3,1.18773493917,11,5,3.125,1,7,1.88509188863,25,8,1.75,0,3,1.03509833901,14,7,29.75,27,33,2.05287255189,238,8,1.125,0,3,1.12599162646,9,5,9.125,3,16,4.70372193056,73,8,7.25,3,13,3.19597961731,58,8,4.75,1,8,2.12132034356,38,8
84,Indiana,T. Bryant,3.58333333333,0,8,2.15146180045,43,11,4.25,2,11,2.34035739306,51,12,0.25,0,1,0.452267016867,3,3,23.0833333333,14,28,4.1441817557,277,12,2.66666666667,0,7,2.10338831989,32,11,11.4166666667,4,23,4.851585183,137,12,6.75,2,13,3.04884478868,81,12,0.416666666667,0,2,0.668557923422,5,4
84,Indiana,T. Priller,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.333333333333,0,1,0.57735026919,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
84,Indiana,T. Williams,4.5,0,10,2.77979724571,54,11,4.58333333333,0,8,2.2746961169,55,11,0.75,0,2,0.621581560508,9,8,25.6666666667,14,34,5.94418483338,308,12,3.16666666667,0,8,2.36771210371,38,11,13.0833333333,0,23,6.141636343,157,11,9.91666666667,5,14,2.96826650768,119,12,2.66666666667,1,4,0.887625364599,32,12
84,Indiana,Y. Ferrell,4.5,0,8,2.67989144963,54,11,5.41666666667,2,12,3.39674532279,65,12,2.33333333333,1,5,1.61432976992,28,12,36.4166666667,34,41,1.78164037455,437,12,3.75,0,8,2.86435777349,45,11,16.9166666667,9,30,6.2443914229,203,12,12.6666666667,8,20,4.07505344825,152,12,6.16666666667,2,10,2.1672493389,74,12
87,Notre Dame,A. Burgett,0.166666666667,0,1,0.408248290464,1,1,1.33333333333,0,5,1.9663841605,8,3,0.833333333333,0,4,1.60208197876,5,2,9.33333333333,3,25,8.64098759788,56,6,0.0,0,0,0.0,0,0,3.5,0,14,5.50454357781,21,3,2.16666666667,0,7,2.63944438598,13,4,1.5,0,6,2.34520787991,9,3
87,Notre Dame,A. Torres,0.222222222222,0,1,0.440958551844,2,2,0.222222222222,0,1,0.440958551844,2,2,0.0,0,0,0.0,0,0,3.55555555556,2,6,1.42400062422,32,9,0.111111111111,0,1,0.333333333333,1,1,0.555555555556,0,3,1.13038833052,5,2,0.666666666667,0,2,0.707106781187,6,5,0.0,0,0,0.0,0,0
87,Notre Dame,B. Colson,3.41666666667,1,6,1.62135371797,41,12,3.66666666667,1,7,2.18812220588,44,12,0.0,0,0,0.0,0,0,25.1666666667,12,35,5.87495970328,302,12,2.66666666667,0,5,1.49747261826,32,11,10.0,3,19,5.23970852763,120,12,7.66666666667,3,13,2.99494523651,92,12,0.0833333333333,0,1,0.288675134595,1,1
87,Notre Dame,D. Jackson,4.16666666667,0,9,3.29830075627,50,9,4.41666666667,1,7,1.6764862244,53,12,1.41666666667,0,6,1.72986249235,17,8,37.5,30,44,4.03394686042,450,12,3.58333333333,0,9,3.14666730868,43,9,13.8333333333,6,27,5.62192676989,166,12,12.6666666667,8,18,2.67423169369,152,12,5.75,3,12,2.26133508433,69,12
87,Notre Dame,M. Farrell,0.666666666667,0,4,1.63299316186,4,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,7.33333333333,1,16,6.53197264742,44,6,0.5,0,3,1.22474487139,3,1,0.5,0,3,1.22474487139,3,1,1.33333333333,0,4,1.36626010213,8,5,0.666666666667,0,2,0.816496580928,4,3
87,Notre Dame,M. Geben,0.333333333333,0,2,0.816496580928,2,1,0.166666666667,0,1,0.408248290464,1,1,0.0,0,0,0.0,0,0,2.16666666667,1,4,0.98319208025,13,6,0.333333333333,0,2,0.816496580928,2,1,0.666666666667,0,2,1.03279555899,4,2,0.166666666667,0,1,0.408248290464,1,1,0.0,0,0,0.0,0,0
87,Notre Dame,M. Gregory,0.0,0,0,,0,0,0.0,0,0,,0,0,0.0,0,0,,0,0,1.0,1,1,,1,1,0.0,0,0,,0,0,0.0,0,0,,0,0,1.0,1,1,,1,1,1.0,1,1,,1,1
87,Notre Dame,M. Ryan,0.416666666667,0,3,0.996204919896,5,2,1.75,0,5,1.54478595163,21,9,1.25,0,4,1.3568010506,15,7,11.5,4,20,4.90824908607,138,12,0.416666666667,0,3,0.996204919896,5,2,5.16666666667,0,17,4.93288286232,62,9,3.66666666667,0,8,2.30940107676,44,11,2.83333333333,0,6,2.03752672412,34,11
87,Notre Dame,R. Pflueger,0.916666666667,0,4,1.56427928995,11,4,0.75,0,3,0.965307299163,9,6,0.333333333333,0,3,0.887625364599,4,2,16.25,8,24,4.71216993057,195,12,0.833333333333,0,4,1.52752523165,10,4,2.66666666667,0,9,2.87096225026,32,8,2.25,0,3,1.13818036596,27,10,1.16666666667,0,3,1.19341628288,14,7
