,,,MIN,MIN,MIN,MIN,MIN,MIN,TREY_A,TREY_A,TREY_A,TREY_A,TREY_A,TREY_A,TREY_M,TREY_M,TREY_M,TREY_M,TREY_M,TREY_M,FTM,FTM,FTM,FTM,FTM,FTM,FTA,FTA,FTA,FTA,FTA,FTA,PTS,PTS,PTS,PTS,PTS,PTS,FGM,FGM,FGM,FGM,FGM,FGM,FGA,FGA,FGA,FGA,FGA,FGA
,,,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero
team_id,team_name_x,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Arizona,R. Alkins,27.9,17,37,5.152130088074683,279,10,3.3,0.0,7.0,2.0575065816014617,33.0,9.0,1.5,0.0,4.0,1.509230856356236,15.0,6.0,2.4,0.0,8.0,2.503331114069145,24.0,8.0,3.6,0.0,8.0,2.5905812303633926,36.0,9.0,12.3,3,19,4.9899899799498595,123,10,4.2,1.0,7.0,1.8135294011647258,42.0,10.0,9.2,5.0,13.0,2.6161889160464775,92.0,10.0
12,Arizona,T. Trillo,2.0,1,3,1.4142135623730951,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,UCLA,A. Holiday,26.2,20,30,3.6453928305312844,262,10,4.5,2.0,7.0,1.9578900207451218,45.0,10.0,1.8,1.0,4.0,1.0327955589886444,18.0,10.0,2.7,0.0,5.0,1.3374935098492586,27.0,9.0,3.4,0.0,8.0,2.065591117977289,34.0,9.0,13.7,5,20,3.8311588035185618,137,10,4.6,2.0,8.0,1.6465452046971294,46.0,10.0,9.9,7.0,14.0,2.282785822435191,99.0,10.0
26,UCLA,A. Wulff,2.0,2,2,,2,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
26,UCLA,B. Alford,33.6,30,37,2.11869981094276,336,10,7.4,4.0,14.0,3.025814858109391,74.0,10.0,3.5,1.0,9.0,2.5055493963954847,35.0,10.0,2.6,0.0,6.0,2.503331114069145,26.0,6.0,3.4,0.0,6.0,2.6749870196985173,34.0,8.0,15.9,3,37,9.158481193832184,159,10,4.9,1.0,11.0,3.142893217686178,49.0,10.0,10.6,6.0,18.0,3.3730961708462712,106.0,10.0
26,UCLA,G. Goloman,8.8,4,14,3.675746333890726,88,10,0.2,0.0,1.0,0.4216370213557839,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0,4,1.9888578520235065,18,5,0.9,0.0,2.0,0.9944289260117533,9.0,5.0,2.0,0.0,5.0,1.8257418583505538,20.0,8.0
26,UCLA,I. Anigbogu,12.444444444444445,4,20,4.719934086168766,112,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,3.0,1.118033988749895,6.0,3.0,0.8888888888888888,0.0,4.0,1.3642254619787417,8.0,4.0,5.555555555555555,2,12,3.2446537223219645,50,9,2.4444444444444446,1.0,5.0,1.4240006242195884,22.0,9.0,3.5555555555555554,1.0,7.0,1.6666666666666667,32.0,9.0
26,UCLA,I. Hamilton,28.5,22,35,4.527692569068708,285,10,4.7,2.0,7.0,1.4181364924121764,47.0,10.0,1.3,0.0,4.0,1.4181364924121764,13.0,6.0,0.9,0.0,2.0,0.9944289260117533,9.0,5.0,1.2,0.0,3.0,1.1352924243950933,12.0,6.0,9.6,0,20,7.633260552782583,96,9,3.7,0.0,8.0,2.79085809185793,37.0,9.0,9.8,5.0,13.0,2.7406406388125952,98.0,10.0
26,UCLA,I. Okwarabizie,1.0,1,1,,1,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,,0,0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,,1.0,1.0
26,UCLA,J. Smith,2.0,2,2,,2,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,,0,0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,,1.0,1.0
26,UCLA,L. Ball,36.1,31,40,2.9230881691191675,361,10,6.2,3.0,8.0,1.6865480854231356,62.0,10.0,2.2,0.0,4.0,1.3165611772087666,22.0,9.0,2.1,0.0,5.0,2.0248456731316584,21.0,7.0,3.2,0.0,9.0,3.0110906108363245,32.0,9.0,14.5,4,23,5.482294734466175,145,10,5.1,2.0,7.0,1.728840330651992,51.0,10.0,10.3,6.0,14.0,2.6267851073127395,103.0,10.0
26,UCLA,T. Leaf,31.2,27,35,2.820559440174157,312,10,1.2,0.0,2.0,0.7888106377466155,12.0,8.0,0.5,0.0,2.0,0.7071067811865476,5.0,4.0,2.1,0.0,4.0,1.1005049346146119,21.0,9.0,2.7,0.0,4.0,1.2516655570345725,27.0,9.0,17.2,8,32,7.345444544447637,172,10,7.3,4.0,14.0,3.368151487751767,73.0,10.0,11.6,7.0,18.0,3.565264521898917,116.0,10.0
26,UCLA,T. Welsh,23.9,18,31,4.653553003411002,239,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,4.0,1.837873166945363,14.0,5.0,1.6,0.0,4.0,1.837873166945363,16.0,5.0,11.2,2,20,6.250333324444918,112,10,4.9,1.0,8.0,2.558211180579986,49.0,10.0,7.4,2.0,11.0,2.7968235951204043,74.0,10.0
30,USC,B. Boatwright,25.428571428571427,3,32,10.580755216542011,178,7,6.142857142857143,0.0,9.0,3.132015933791495,43.0,6.0,2.5714285714285716,0.0,5.0,1.7182493859684491,18.0,6.0,3.7142857142857144,0.0,8.0,3.773340063934768,26.0,5.0,4.142857142857143,0.0,8.0,3.670993118515816,29.0,6.0,15.714285714285714,0,23,8.788520651286838,110,6,4.714285714285714,0.0,8.0,2.690370836538197,33.0,6.0,9.714285714285714,0.0,13.0,4.423960733486292,68.0,6.0
30,USC,C. Buggs,8.25,2,19,5.4707011825333165,66,8,0.5,0.0,1.0,0.5345224838248488,4.0,4.0,0.375,0.0,1.0,0.5175491695067657,3.0,3.0,0.25,0.0,2.0,0.7071067811865476,2.0,1.0,0.25,0.0,2.0,0.7071067811865476,2.0,1.0,2.375,0,7,2.445841952609133,19,5,0.875,0.0,3.0,0.991031208965115,7.0,5.0,1.375,0.0,4.0,1.3024701806293193,11.0,6.0
30,USC,C. Metu,32.0,29,34,1.8973665961010275,352,11,0.09090909090909091,0.0,1.0,0.30151134457776363,1.0,1.0,0.09090909090909091,0.0,1.0,0.30151134457776363,1.0,1.0,3.5454545454545454,1.0,9.0,2.2074254852038093,39.0,11.0,5.090909090909091,2.0,10.0,2.844452335847639,56.0,11.0,16.727272727272727,4,29,6.357529537342459,184,11,6.545454545454546,1.0,12.0,3.0777796010642597,72.0,11.0,11.090909090909092,7.0,14.0,2.2115399817568506,122.0,11.0
30,USC,D. Melton,27.454545454545453,18,34,4.412791324403101,302,11,2.3636363636363638,0.0,5.0,1.4333685689819817,26.0,10.0,0.5454545454545454,0.0,1.0,0.5222329678670935,6.0,6.0,2.090909090909091,0.0,6.0,1.9725387425622571,23.0,8.0,2.909090909090909,0.0,7.0,2.3432688900143512,32.0,9.0,9.0,5,16,3.8209946349085597,99,11,3.1818181818181817,1.0,6.0,1.8340219092574561,35.0,11.0,7.545454545454546,1.0,13.0,3.643175438093432,83.0,11.0
30,USC,E. Stewart,29.545454545454547,20,35,4.3672333659569045,325,11,4.0,1.0,6.0,1.7888543819998317,44.0,11.0,1.0,0.0,2.0,0.8944271909999159,11.0,7.0,1.2727272727272727,0.0,5.0,1.4893561757289013,14.0,7.0,2.090909090909091,0.0,6.0,1.7580981459830651,23.0,9.0,8.636363636363637,0,15,4.455843966584272,95,10,3.1818181818181817,0.0,6.0,1.662418829187267,35.0,10.0,9.090909090909092,5.0,14.0,3.1766191290283907,100.0,11.0
30,USC,H. Henderson,2.8333333333333335,1,6,2.136976056643281,17,6,0.3333333333333333,0.0,2.0,0.816496580927726,2.0,1.0,0.16666666666666666,0.0,1.0,0.408248290463863,1.0,1.0,0.16666666666666666,0.0,1.0,0.408248290463863,1.0,1.0,0.6666666666666666,0.0,4.0,1.632993161855452,4.0,1.0,1.0,0,5,2.0,6,2,0.3333333333333333,0.0,2.0,0.816496580927726,2.0,1.0,0.6666666666666666,0.0,3.0,1.2110601416389966,4.0,2.0
30,USC,J. Mathews,20.636363636363637,9,26,6.087244487824147,227,11,4.363636363636363,1.0,7.0,2.1105794120443453,48.0,11.0,1.4545454545454546,0.0,4.0,1.3684762594679063,16.0,7.0,1.0,0.0,3.0,1.0954451150103321,11.0,6.0,1.3636363636363635,0.0,4.0,1.5666989036012804,15.0,6.0,7.363636363636363,0,18,5.937553827507204,81,8,2.4545454545454546,0.0,6.0,1.9679246105293955,27.0,8.0,6.909090909090909,1.0,11.0,3.238967287718277,76.0,11.0
30,USC,J. McLaughlin,32.54545454545455,30,35,1.9679246105293953,358,11,2.909090909090909,1.0,5.0,1.1361818036340359,32.0,11.0,0.9090909090909091,0.0,2.0,0.5393598899705937,10.0,9.0,2.8181818181818183,0.0,7.0,2.442055765873573,31.0,9.0,3.1818181818181817,0.0,8.0,2.8572077914699103,35.0,9.0,9.727272727272727,4,13,2.6491851234260353,107,11,3.0,1.0,6.0,1.61245154965971,33.0,11.0,8.181818181818182,2.0,13.0,2.9939332597164494,90.0,11.0
30,USC,K. Karis,1.1666666666666667,0,3,0.9831920802501749,7,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0,2,0.816496580927726,2,1,0.16666666666666666,0.0,1.0,0.408248290463863,1.0,1.0,0.16666666666666666,0.0,1.0,0.408248290463863,1.0,1.0
30,USC,N. Rakocevic,13.363636363636363,7,23,5.025390079839122,147,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8181818181818181,0.0,4.0,1.4709304414677002,20.0,8.0,2.6363636363636362,0.0,6.0,2.1105794120443453,29.0,8.0,4.545454545454546,1,9,2.1616492020508953,50,11,1.3636363636363635,0.0,3.0,0.9244162777371754,15.0,9.0,2.909090909090909,1.0,5.0,1.2210278829367867,32.0,11.0
