team_player,team_name,player,seed,games_played,ppg,weighted_ppg,exp_games,proj_pts,w_proj_pts,home_ppg,away_ppg,home_away_diff,max_pts_l15,three_pm,three_pa,kenpom_exp_games,kenpom_proj,kenpom_nl_exp_games,kenpom_nl_proj
Iowa Hawkeyes - Cooper Koch,Iowa Hawkeyes,Cooper Koch,9,33,7.67,8.72,1.4,10.74,12.21,7.15,8.46,-1.31,19,1.7,4.3,1.74,15.17,1.791,15.62
Miami (OH) RedHawks - Evan Ipsaro,Miami (OH) RedHawks,Evan Ipsaro,11,10,14.4,14.9,1.6,23.04,23.84,18.5,11.67,6.83,27,1.2,3.1,1.17,17.43,1.043,15.54
Duke Blue Devils - Darren Harris,Duke Blue Devils,Darren Harris,1,32,3.72,3.53,4.3,16.0,15.18,3.33,4.45,-1.12,16,0.72,2.09,5.1,18.0,4.394,15.51
Troy Trojans - Cooper Campbell,Troy Trojans,Cooper Campbell,13,31,13.06,14.32,1.2,15.67,17.18,11.4,14.62,-3.22,32,2.1,5.39,1.01,14.46,1.08,15.47
TCU Horned Frogs - Micah Robinson,TCU Horned Frogs,Micah Robinson,9,33,10.48,10.61,1.4,14.67,14.85,10.29,10.83,-0.55,20,1.15,3.64,1.33,14.11,1.454,15.43
VCU Rams - Jadrian Tracey,VCU Rams,Jadrian Tracey,11,34,9.91,10.15,1.6,15.86,16.24,9.77,10.17,-0.39,26,1.79,4.76,1.39,14.11,1.519,15.42
TCU Horned Frogs - Jayden Pierre,TCU Horned Frogs,Jayden Pierre,9,33,10.52,10.59,1.4,14.73,14.83,10.19,11.08,-0.89,25,1.55,4.27,1.33,14.08,1.454,15.4
Gonzaga Bulldogs - Braeden Smith,Gonzaga Bulldogs,Braeden Smith,3,33,5.39,5.0,3.0,16.17,15.0,5.16,5.71,-0.56,15,0.52,1.55,3.13,15.65,3.079,15.4
Texas A&M Aggies - Pop Isaacs,Texas A&M Aggies,Pop Isaacs,10,31,10.1,10.21,1.6,16.16,16.34,10.06,10.15,-0.1,18,1.9,4.81,1.36,13.89,1.508,15.4
Queens University Royals - Nasir Mann,Queens University Royals,Nasir Mann,15,33,13.61,14.99,1.1,14.97,16.49,13.93,13.37,0.56,23,1.0,3.06,1.0,14.99,1.027,15.39
Prairie View A&M Panthers - Tai'Reon Joseph,Prairie View A&M Panthers,Tai'Reon Joseph,16,23,16.91,15.32,1.0,16.91,15.32,16.14,17.25,-1.11,32,2.04,7.22,1.49,22.83,1.001,15.34
Pennsylvania Quakers - Ethan Roberts,Pennsylvania Quakers,Ethan Roberts,14,22,16.41,14.81,1.2,19.69,17.77,15.82,17.0,-1.18,28,1.64,4.27,1.0,14.81,1.034,15.31
UConn Huskies - Jayden Ross,UConn Huskies,Jayden Ross,2,32,4.69,4.83,3.7,17.35,17.87,5.57,3.0,2.57,11,0.66,1.78,3.28,15.84,3.155,15.24
Kansas Jayhawks - Elmarko Jackson,Kansas Jayhawks,Elmarko Jackson,4,32,4.88,6.08,2.6,12.69,15.81,3.78,6.29,-2.51,19,0.5,1.34,2.49,15.14,2.503,15.22
Miami (OH) RedHawks - Peter Suder,Miami (OH) RedHawks,Peter Suder,11,28,14.93,14.55,1.6,23.89,23.28,15.38,14.53,0.85,20,1.07,2.71,1.17,17.02,1.043,15.18
Northern Iowa Panthers - Leon Bond III,Northern Iowa Panthers,Leon Bond III,12,34,12.09,11.92,1.6,19.34,19.07,12.0,12.18,-0.18,19,1.32,3.59,1.09,12.99,1.269,15.13
California Baptist Lancers - Martel Williams,California Baptist Lancers,Martel Williams,13,32,12.69,12.94,1.2,15.23,15.53,12.44,12.94,-0.5,23,1.12,3.38,1.03,13.33,1.156,14.96
Santa Clara Broncos - Sash Gavalyugov,Santa Clara Broncos,Sash Gavalyugov,10,33,8.82,9.39,1.6,14.11,15.02,9.95,7.29,2.66,23,1.85,5.12,1.47,13.8,1.589,14.92
Clemson Tigers - Jestin Porter,Clemson Tigers,Jestin Porter,8,34,9.65,9.63,1.5,14.48,14.44,8.63,10.93,-2.3,18,1.82,5.32,1.41,13.58,1.548,14.91
Saint Louis Billikens - Amari McCottry,Saint Louis Billikens,Amari McCottry,9,32,10.34,9.88,1.4,14.48,13.83,10.86,9.2,1.66,18,0.56,1.94,1.43,14.13,1.506,14.88
BYU Cougars - Dawson Baker,BYU Cougars,Dawson Baker,6,6,7.5,7.56,2.0,15.0,15.12,7.75,7.0,0.75,12,1.5,3.17,1.92,14.52,1.964,14.85
Furman Paladins - Cooper Bowser,Furman Paladins,Cooper Bowser,15,21,13.9,14.17,1.1,15.29,15.59,12.78,14.75,-1.97,21,0.0,0.05,1.0,14.17,1.045,14.81
BYU Cougars - Aleksej Kostic,BYU Cougars,Aleksej Kostic,6,9,7.44,7.52,2.0,14.88,15.04,7.5,7.4,0.1,14,2.11,5.44,1.92,14.44,1.964,14.77
SMU Mustangs - Corey Washington,SMU Mustangs,Corey Washington,11,33,11.3,10.97,1.6,18.08,17.55,12.25,9.85,2.4,18,1.36,3.42,2.06,22.6,1.336,14.66
Nebraska Cornhuskers - Connor Essegian,Nebraska Cornhuskers,Connor Essegian,4,7,5.43,5.41,2.6,14.12,14.07,5.17,7.0,-1.83,13,1.14,4.43,2.64,14.28,2.697,14.59
Long Island University Sharks - Greg Gordon,Long Island University Sharks,Greg Gordon,16,34,14.06,14.52,1.0,14.06,14.52,14.87,13.42,1.45,24,0.18,0.85,1.0,14.52,1.004,14.58
Idaho Vandals - Kolton Mitchell,Idaho Vandals,Kolton Mitchell,15,29,13.62,13.91,1.1,14.98,15.3,13.5,13.68,-0.18,31,2.17,6.31,1.0,13.91,1.035,14.4
Utah State Aggies - Karson Templin,Utah State Aggies,Karson Templin,9,33,9.09,8.74,1.4,12.73,12.24,10.63,7.0,3.63,15,0.61,1.67,1.57,13.72,1.642,14.35
Villanova Wildcats - Matt Hodge,Villanova Wildcats,Matt Hodge,8,29,9.24,9.07,1.5,13.86,13.6,8.65,10.08,-1.44,18,1.72,4.69,1.49,13.51,1.582,14.35
Iowa State Cyclones - Nate Heise,Iowa State Cyclones,Nate Heise,2,34,4.68,4.01,3.7,17.32,14.84,4.48,5.0,-0.52,11,0.68,2.21,3.85,15.44,3.572,14.32
Long Island University Sharks - Malachi Davis,Long Island University Sharks,Malachi Davis,16,34,14.38,14.25,1.0,14.38,14.25,15.27,13.68,1.58,24,1.29,4.06,1.0,14.25,1.004,14.31
Missouri Tigers - Jacob Crews,Missouri Tigers,Jacob Crews,10,32,8.62,9.74,1.6,13.79,15.58,10.0,6.62,3.38,20,1.75,3.88,1.32,12.86,1.468,14.3
Miami (OH) RedHawks - Brant Byers,Miami (OH) RedHawks,Brant Byers,11,29,14.34,13.7,1.6,22.94,21.92,15.14,13.6,1.54,27,2.0,5.14,1.17,16.03,1.043,14.29
Kennesaw State Owls - RJ Johnson,Kennesaw State Owls,RJ Johnson,14,30,14.83,13.72,1.2,17.8,16.46,14.93,14.75,0.18,20,1.73,4.1,1.0,13.72,1.04,14.27
Nebraska Cornhuskers - Cale Jacobsen,Nebraska Cornhuskers,Cale Jacobsen,4,32,4.84,5.28,2.6,12.58,13.73,5.1,4.36,0.73,15,0.44,1.16,2.64,13.94,2.697,14.24
Michigan State Spartans - Trey Fort,Michigan State Spartans,Trey Fort,3,30,3.8,4.76,3.0,11.4,14.28,3.11,5.0,-1.89,14,0.8,2.43,3.12,14.85,2.986,14.21
Kentucky Wildcats - Malachi Moreno,Kentucky Wildcats,Malachi Moreno,7,34,8.03,7.98,1.9,15.26,15.16,8.59,7.0,1.59,18,0.0,0.09,1.69,13.49,1.777,14.18
Utah State Aggies - Drake Allen,Utah State Aggies,Drake Allen,9,32,7.84,8.61,1.4,10.98,12.05,7.94,7.71,0.23,17,0.75,2.34,1.57,13.52,1.642,14.14
UMBC Retrievers - DJ Armstrong Jr.,UMBC Retrievers,DJ Armstrong Jr.,16,30,13.43,14.07,1.0,13.43,14.07,13.47,13.4,0.07,33,2.7,6.47,1.56,21.95,1.003,14.11
SMU Mustangs - Samet Yigitoglu,SMU Mustangs,Samet Yigitoglu,11,33,10.76,10.55,1.6,17.22,16.88,10.95,10.46,0.49,15,0.0,0.03,2.06,21.73,1.336,14.09
Troy Trojans - Theo Seng,Troy Trojans,Theo Seng,13,25,13.04,13.04,1.2,15.65,15.65,12.45,13.5,-1.05,24,0.92,2.96,1.01,13.17,1.08,14.08
Saint Louis Billikens - Kellen Thames,Saint Louis Billikens,Kellen Thames,9,30,9.73,9.33,1.4,13.62,13.06,9.85,9.5,0.35,24,0.07,0.37,1.43,13.34,1.506,14.05
McNeese Cowboys - Javohn Garcia,McNeese Cowboys,Javohn Garcia,12,27,11.81,11.35,1.6,18.9,18.16,12.08,11.57,0.51,31,1.26,3.52,1.07,12.14,1.228,13.94
UMBC Retrievers - Jah'Likai King,UMBC Retrievers,Jah'Likai King,16,29,13.83,13.82,1.0,13.83,13.82,14.2,13.43,0.77,24,1.41,4.59,1.56,21.56,1.003,13.86
Michigan State Spartans - Divine Ugochukwu,Michigan State Spartans,Divine Ugochukwu,3,22,5.14,4.64,3.0,15.42,13.92,3.07,8.75,-5.68,12,0.86,1.95,3.12,14.48,2.986,13.86
South Florida Bulls - Josh Omojafo,South Florida Bulls,Josh Omojafo,11,32,11.12,10.05,1.6,17.79,16.08,9.18,13.33,-4.16,21,0.69,2.16,1.21,12.16,1.376,13.83
Alabama Crimson Tide - Jalil Bethea,Alabama Crimson Tide,Jalil Bethea,4,23,4.39,5.43,2.6,11.41,14.12,5.4,2.5,2.9,21,0.7,2.09,2.58,14.01,2.54,13.79
Clemson Tigers - Nick Davidson,Clemson Tigers,Nick Davidson,8,34,9.15,8.88,1.5,13.73,13.32,9.32,8.93,0.38,17,0.85,2.41,1.41,12.52,1.548,13.75
Clemson Tigers - Ace Buckner,Clemson Tigers,Ace Buckner,8,34,8.44,8.87,1.5,12.66,13.3,9.26,7.4,1.86,16,0.85,2.65,1.41,12.51,1.548,13.73
South Florida Bulls - CJ Brown,South Florida Bulls,CJ Brown,11,32,10.75,9.96,1.6,17.2,15.94,9.94,11.67,-1.73,18,0.41,1.94,1.21,12.05,1.376,13.7
Arizona Wildcats - Dwayne Aristode,Arizona Wildcats,Dwayne Aristode,1,30,4.13,3.14,4.3,17.76,13.5,5.15,2.1,3.05,6,0.93,2.1,4.96,15.57,4.359,13.69
VCU Rams - Nyk Lewis,VCU Rams,Nyk Lewis,11,33,8.73,8.99,1.6,13.97,14.38,8.18,9.82,-1.64,17,1.39,3.79,1.39,12.5,1.519,13.66
Saint Louis Billikens - Ishan Sharma,Saint Louis Billikens,Ishan Sharma,9,32,9.12,9.04,1.4,12.77,12.66,9.82,7.6,2.22,29,2.38,5.53,1.43,12.93,1.506,13.61
Purdue Boilermakers - Gicarri Harris,Purdue Boilermakers,Gicarri Harris,2,35,4.66,3.87,3.7,17.24,14.32,3.95,5.71,-1.76,14,0.86,2.46,3.75,14.51,3.503,13.56
Missouri Tigers - Anthony Robinson II,Missouri Tigers,Anthony Robinson II,10,32,8.84,9.19,1.6,14.14,14.7,9.84,7.38,2.46,20,0.94,3.16,1.32,12.13,1.468,13.49
Wright State Raiders - TJ Burch,Wright State Raiders,TJ Burch,14,32,12.72,12.49,1.2,15.26,14.99,13.75,11.69,2.06,23,0.75,2.16,1.01,12.61,1.076,13.44
North Carolina Tar Heels - Derek Dixon,North Carolina Tar Heels,Derek Dixon,6,32,6.38,7.39,2.0,12.76,14.78,6.1,6.91,-0.81,17,1.47,3.72,1.74,12.86,1.811,13.38
High Point Panthers - Cam'Ron Fletcher,High Point Panthers,Cam'Ron Fletcher,12,22,11.36,11.14,1.6,18.18,17.82,10.33,13.57,-3.24,22,1.0,3.23,1.07,11.92,1.197,13.33
Prairie View A&M Panthers - Cory Wells,Prairie View A&M Panthers,Cory Wells,16,31,13.16,13.3,1.0,13.16,13.3,12.0,13.8,-1.8,23,1.23,3.19,1.49,19.82,1.001,13.31
Ohio State Buckeyes - Brandon Noel,Ohio State Buckeyes,Brandon Noel,8,15,7.07,7.44,1.5,10.6,11.16,5.55,11.25,-5.7,29,0.2,1.0,1.73,12.87,1.784,13.27
North Dakota State Bison - Trevian Carson,North Dakota State Bison,Trevian Carson,14,31,12.19,12.07,1.2,14.63,14.48,11.13,13.19,-2.05,29,1.39,3.65,1.01,12.19,1.097,13.24
Kentucky Wildcats - Jaland Lowe,Kentucky Wildcats,Jaland Lowe,7,9,8.0,7.43,1.9,15.2,14.12,6.0,15.0,-9.0,21,0.56,2.67,1.69,12.56,1.777,13.2
Idaho Vandals - Jackson Rasmussen,Idaho Vandals,Jackson Rasmussen,15,31,13.26,12.71,1.1,14.59,13.98,13.45,13.15,0.3,23,1.03,3.23,1.0,12.71,1.035,13.15
UCLA Bruins - Xavier Booker,UCLA Bruins,Xavier Booker,7,34,6.94,6.41,1.9,13.19,12.18,8.95,3.69,5.26,24,0.74,1.76,2.01,12.88,2.041,13.08
Northern Iowa Panthers - Ben Schwieger,Northern Iowa Panthers,Ben Schwieger,12,34,9.88,10.28,1.6,15.81,16.45,9.41,10.35,-0.94,18,1.0,2.68,1.09,11.21,1.269,13.05
TCU Horned Frogs - Liutauras Lelevicius,TCU Horned Frogs,Liutauras Lelevicius,9,32,8.38,8.97,1.4,11.73,12.56,8.9,7.5,1.4,14,1.44,3.62,1.33,11.93,1.454,13.04
Tennessee Volunteers - Bishop Boswell,Tennessee Volunteers,Bishop Boswell,6,30,6.23,5.56,2.0,12.46,11.12,5.5,7.33,-1.83,13,0.77,1.97,2.35,13.07,2.334,12.98
Iowa Hawkeyes - Cam Manyawu,Iowa Hawkeyes,Cam Manyawu,9,33,7.06,7.21,1.4,9.88,10.09,7.5,6.38,1.12,14,0.0,0.0,1.74,12.55,1.791,12.91
Iowa Hawkeyes - Alvaro Folgueiras,Iowa Hawkeyes,Alvaro Folgueiras,9,33,8.12,7.19,1.4,11.37,10.07,9.8,5.54,4.26,20,0.94,2.88,1.74,12.51,1.791,12.88
Michigan Wolverines - Winters Grady,Michigan Wolverines,Winters Grady,1,9,2.89,2.93,4.3,12.43,12.6,2.89,,,6,0.67,2.11,4.82,14.12,4.392,12.87
Saint Mary's Gaels - Dillan Shaw,Saint Mary's Gaels,Dillan Shaw,7,31,7.52,6.76,1.9,14.29,12.84,7.12,8.0,-0.88,14,1.58,3.81,1.8,12.17,1.878,12.7
VCU Rams - Brandon Jennings,VCU Rams,Brandon Jennings,11,34,8.68,8.33,1.6,13.89,13.33,9.23,7.67,1.56,18,0.68,1.56,1.39,11.58,1.519,12.65
Akron Zips - Evan Mahaffey,Akron Zips,Evan Mahaffey,12,32,9.91,9.85,1.6,15.86,15.76,10.68,8.77,1.91,16,0.38,1.28,1.12,11.03,1.277,12.58
Siena Saints - Justice Shoats,Siena Saints,Justice Shoats,16,34,13.21,12.36,1.0,13.21,12.36,13.81,12.67,1.15,26,0.41,1.18,1.0,12.36,1.01,12.48
UMBC Retrievers - Ace Valentine,UMBC Retrievers,Ace Valentine,16,29,12.07,12.41,1.0,12.07,12.41,13.36,10.87,2.49,23,1.31,3.59,1.56,19.36,1.003,12.45
Miami (OH) RedHawks - Eian Elmer,Miami (OH) RedHawks,Eian Elmer,11,29,12.76,11.93,1.6,20.42,19.09,12.5,13.0,-0.5,32,2.17,5.0,1.17,13.96,1.043,12.44
Hawai'i Rainbow Warriors - Harry Rouhliadeff,Hawai'i Rainbow Warriors,Harry Rouhliadeff,13,28,10.46,11.08,1.2,12.55,13.3,10.06,11.0,-0.94,22,1.14,2.82,1.02,11.3,1.111,12.31
Miami Hurricanes - Ernest Udeh Jr.,Miami Hurricanes,Ernest Udeh Jr.,7,31,6.9,6.52,1.9,13.11,12.39,8.67,4.46,4.21,15,0.0,0.0,1.84,12.0,1.888,12.31
Queens University Royals - Chris Ashby,Queens University Royals,Chris Ashby,15,33,11.39,11.96,1.1,12.53,13.16,12.0,10.95,1.05,34,3.12,8.55,1.0,11.96,1.027,12.28
Idaho Vandals - Biko Johnson,Idaho Vandals,Biko Johnson,15,32,12.66,11.83,1.1,13.93,13.01,12.5,12.75,-0.25,23,1.69,5.5,1.0,11.83,1.035,12.24
Saint Louis Billikens - Quentin Jones,Saint Louis Billikens,Quentin Jones,9,32,9.09,8.13,1.4,12.73,11.38,9.91,7.3,2.61,18,1.0,2.69,1.43,11.63,1.506,12.24
Idaho Vandals - Isaiah Brickner,Idaho Vandals,Isaiah Brickner,15,31,12.35,11.81,1.1,13.58,12.99,15.33,10.47,4.86,26,1.35,3.29,1.0,11.81,1.035,12.22
Tennessee State Tigers - Dante Harris,Tennessee State Tigers,Dante Harris,15,29,11.62,12.01,1.1,12.78,13.21,9.83,12.88,-3.05,21,0.52,1.62,1.0,12.01,1.017,12.21
Wisconsin Badgers - Aleksas Bieliauskas,Wisconsin Badgers,Aleksas Bieliauskas,5,34,4.97,5.15,2.1,10.44,10.82,4.32,5.8,-1.48,16,0.82,2.32,2.36,12.15,2.366,12.18
Wright State Raiders - Michael Imariagbe,Wright State Raiders,Michael Imariagbe,14,31,11.71,11.31,1.2,14.05,13.57,14.07,9.5,4.57,19,0.03,0.19,1.01,11.42,1.076,12.17
Utah State Aggies - Kolby King,Utah State Aggies,Kolby King,9,33,7.39,7.39,1.4,10.35,10.35,7.32,7.5,-0.18,20,1.24,3.24,1.57,11.6,1.642,12.13
Missouri Tigers - Shawn Phillips Jr.,Missouri Tigers,Shawn Phillips Jr.,10,30,7.67,8.16,1.6,12.27,13.06,6.41,9.31,-2.9,17,0.0,0.0,1.32,10.77,1.468,11.98
Gonzaga Bulldogs - Steele Venters,Gonzaga Bulldogs,Steele Venters,3,27,4.96,3.89,3.0,14.88,11.67,4.38,5.82,-1.44,8,1.33,3.63,3.13,12.18,3.079,11.98
Wisconsin Badgers - Andrew Rohde,Wisconsin Badgers,Andrew Rohde,5,33,5.73,5.05,2.1,12.03,10.6,6.33,5.0,1.33,8,1.21,3.91,2.36,11.92,2.366,11.95
BYU Cougars - Keba Keita,BYU Cougars,Keba Keita,6,32,6.28,6.08,2.0,12.56,12.16,6.83,5.57,1.26,9,0.0,0.0,1.92,11.67,1.964,11.94
TCU Horned Frogs - Tanner Toolson,TCU Horned Frogs,Tanner Toolson,9,33,8.0,8.17,1.4,11.2,11.44,7.9,8.17,-0.26,19,0.88,3.0,1.33,10.87,1.454,11.88
Missouri Tigers - T.O. Barrett,Missouri Tigers,T.O. Barrett,10,32,8.91,8.09,1.6,14.26,12.94,9.58,7.92,1.66,13,0.28,1.31,1.32,10.68,1.468,11.88
Texas Tech Red Raiders - Josiah Moseley,Texas Tech Red Raiders,Josiah Moseley,5,12,4.58,4.98,2.1,9.62,10.46,4.29,5.0,-0.71,10,0.25,0.42,2.42,12.05,2.377,11.84
Furman Paladins - Asa Thomas,Furman Paladins,Asa Thomas,15,24,12.17,11.31,1.1,13.39,12.44,12.58,11.75,0.83,25,2.96,7.42,1.0,11.31,1.045,11.82
Arkansas Razorbacks - Nick Pringle,Arkansas Razorbacks,Nick Pringle,4,34,4.59,4.33,2.6,11.93,11.26,4.67,4.4,0.27,14,0.0,0.0,2.73,11.82,2.727,11.81
Miami Hurricanes - Dante Allen,Miami Hurricanes,Dante Allen,7,28,6.43,6.25,1.9,12.22,11.88,7.0,5.67,1.33,12,0.75,2.5,1.84,11.5,1.888,11.8
Missouri Tigers - Sebastian Mack,Missouri Tigers,Sebastian Mack,10,18,7.0,8.03,1.6,11.2,12.85,7.58,5.83,1.75,17,0.5,1.83,1.32,10.6,1.468,11.79
High Point Panthers - Owen Aquino,High Point Panthers,Owen Aquino,12,31,9.52,9.84,1.6,15.23,15.74,9.55,9.45,0.1,17,0.45,1.0,1.07,10.53,1.197,11.78
NC State Wolfpack - Matt Able,NC State Wolfpack,Matt Able,11,33,8.97,9.05,1.6,14.35,14.48,9.65,7.92,1.73,19,1.48,4.18,1.75,15.84,1.299,11.76
Santa Clara Broncos - Brenton Knapper,Santa Clara Broncos,Brenton Knapper,10,31,7.68,7.34,1.6,12.29,11.74,6.71,8.86,-2.15,22,0.97,3.35,1.47,10.79,1.589,11.66
Georgia Bulldogs - Jordan Ross,Georgia Bulldogs,Jordan Ross,8,31,6.65,6.97,1.5,9.98,10.46,7.25,5.55,1.7,15,0.42,1.32,1.62,11.29,1.672,11.65
VCU Rams - Michael Belle,VCU Rams,Michael Belle,11,34,7.47,7.67,1.6,11.95,12.27,8.05,6.42,1.63,14,0.56,1.12,1.39,10.66,1.519,11.65
North Dakota State Bison - Markhi Strickland,North Dakota State Bison,Markhi Strickland,14,31,11.1,10.57,1.2,13.32,12.68,11.13,11.06,0.07,17,0.0,0.03,1.01,10.68,1.097,11.6
Queens University Royals - Jordan Watford,Queens University Royals,Jordan Watford,15,33,11.73,11.28,1.1,12.9,12.41,12.43,11.21,1.22,21,0.24,0.7,1.0,11.28,1.027,11.58
Hofstra Pride - German Plotnikov,Hofstra Pride,German Plotnikov,13,30,9.33,9.73,1.2,11.2,11.68,8.14,10.38,-2.23,17,1.8,4.7,1.06,10.31,1.188,11.56
Santa Clara Broncos - Bukky Oboye,Santa Clara Broncos,Bukky Oboye,10,32,8.19,7.23,1.6,13.1,11.57,8.72,7.5,1.22,16,0.25,1.0,1.47,10.63,1.589,11.49
Pennsylvania Quakers - Michael Zanoni,Pennsylvania Quakers,Michael Zanoni,14,28,11.82,11.09,1.2,14.18,13.31,8.85,14.4,-5.55,20,1.89,4.75,1.0,11.09,1.034,11.47
Clemson Tigers - Dillon Hunter,Clemson Tigers,Dillon Hunter,8,34,7.53,7.39,1.5,11.3,11.08,7.79,7.2,0.59,16,0.91,2.71,1.41,10.42,1.548,11.44
Clemson Tigers - Butta Johnson,Clemson Tigers,Butta Johnson,8,34,6.18,7.37,1.5,9.27,11.06,5.89,6.53,-0.64,15,1.21,3.44,1.41,10.39,1.548,11.41
UConn Huskies - Jaylin Stewart,UConn Huskies,Jaylin Stewart,2,28,4.5,3.61,3.7,16.65,13.36,4.94,3.7,1.24,8,0.61,1.75,3.28,11.84,3.155,11.39
Lehigh Mountain Hawks - Joshua Ingram,Lehigh Mountain Hawks,Joshua Ingram,16,32,10.78,11.36,1.0,10.78,11.36,9.5,12.06,-2.56,20,1.44,3.59,1.51,17.15,1.001,11.37
TCU Horned Frogs - Brock Harding,TCU Horned Frogs,Brock Harding,9,33,8.03,7.81,1.4,11.24,10.93,7.52,8.92,-1.39,16,0.88,3.24,1.33,10.39,1.454,11.36
Queens University Royals - Yoav Berman,Queens University Royals,Yoav Berman,15,33,12.48,11.03,1.1,13.73,12.13,12.86,12.21,0.65,22,1.24,4.18,1.0,11.03,1.027,11.33
Kennesaw State Owls - Frankquon Sherman,Kennesaw State Owls,Frankquon Sherman,14,31,10.74,10.84,1.2,12.89,13.01,10.36,11.06,-0.7,19,0.74,2.61,1.0,10.84,1.04,11.27
Iowa State Cyclones - Dominick Nelson,Iowa State Cyclones,Dominick Nelson,2,21,3.71,3.15,3.7,13.73,11.66,4.69,2.12,2.57,12,0.0,0.29,3.85,12.13,3.572,11.25
Kennesaw State Owls - Braedan Lue,Kennesaw State Owls,Braedan Lue,14,31,11.1,10.76,1.2,13.32,12.91,10.36,11.71,-1.35,20,0.55,2.35,1.0,10.76,1.04,11.19
California Baptist Lancers - Jayden Jackson,California Baptist Lancers,Jayden Jackson,13,27,9.3,9.63,1.2,11.16,11.56,9.12,9.55,-0.42,20,2.0,5.63,1.03,9.92,1.156,11.13
Texas Tech Red Raiders - Luke Bamgboye,Texas Tech Red Raiders,Luke Bamgboye,5,19,4.74,4.68,2.1,9.95,9.83,5.42,3.57,1.85,13,0.0,0.05,2.42,11.33,2.377,11.12
Louisville Cardinals - Khani Rooths,Louisville Cardinals,Khani Rooths,6,29,5.48,4.82,2.0,10.96,9.64,6.65,3.83,2.81,13,0.41,1.86,2.31,11.13,2.304,11.11
Tennessee Volunteers - DeWayne Brown II,Tennessee Volunteers,DeWayne Brown II,6,31,4.9,4.75,2.0,9.8,9.5,5.35,4.09,1.26,13,0.0,0.0,2.35,11.16,2.334,11.09
Northern Iowa Panthers - Tristan Smith,Northern Iowa Panthers,Tristan Smith,12,26,9.27,8.72,1.6,14.83,13.95,11.15,7.38,3.77,15,0.12,0.42,1.09,9.5,1.269,11.07
Prairie View A&M Panthers - Doug Young,Prairie View A&M Panthers,Doug Young,16,2,11.0,11.03,1.0,11.0,11.03,,11.0,,12,1.0,4.0,1.49,16.43,1.001,11.04
Siena Saints - Francis Folefac,Siena Saints,Francis Folefac,16,34,11.12,10.92,1.0,11.12,10.92,11.75,10.56,1.19,23,0.12,0.35,1.0,10.92,1.01,11.03
Queens University Royals - Avantae Parker,Queens University Royals,Avantae Parker,15,33,11.39,10.71,1.1,12.53,11.78,13.29,10.0,3.29,18,0.12,0.33,1.0,10.71,1.027,11.0
Clemson Tigers - Zac Foster,Clemson Tigers,Zac Foster,8,12,6.92,7.1,1.5,10.38,10.65,6.0,8.75,-2.75,14,1.08,3.92,1.41,10.01,1.548,10.99
Howard Bison - Cam Gillus,Howard Bison,Cam Gillus,16,29,10.59,10.9,1.0,10.59,10.9,11.12,9.92,1.2,25,1.38,3.69,1.44,15.7,1.002,10.92
Howard Bison - Ose Okojie,Howard Bison,Ose Okojie,16,29,9.93,10.8,1.0,9.93,10.8,8.38,11.85,-3.47,20,0.38,0.83,1.44,15.55,1.002,10.82
Prairie View A&M Panthers - Lance Williams,Prairie View A&M Panthers,Lance Williams,16,31,10.03,10.81,1.0,10.03,10.81,9.09,10.55,-1.46,22,0.84,1.97,1.49,16.11,1.001,10.82
NC State Wolfpack - Tre Holloman,NC State Wolfpack,Tre Holloman,11,31,9.26,8.32,1.6,14.82,13.31,9.3,9.18,0.12,19,1.65,4.03,1.75,14.56,1.299,10.81
North Dakota State Bison - Treyson Anderson,North Dakota State Bison,Treyson Anderson,14,31,10.81,9.82,1.2,12.97,11.78,10.8,10.81,-0.01,16,1.16,3.13,1.01,9.92,1.097,10.77
Utah State Aggies - Garry Clark,Utah State Aggies,Garry Clark,9,33,6.61,6.55,1.4,9.25,9.17,7.79,5.0,2.79,16,0.03,0.18,1.57,10.28,1.642,10.76
Miami (OH) RedHawks - Antwone Woolfolk,Miami (OH) RedHawks,Antwone Woolfolk,11,29,10.45,10.29,1.6,16.72,16.46,11.07,9.87,1.2,15,0.34,1.03,1.17,12.04,1.043,10.73
SMU Mustangs - Jaden Toombs,SMU Mustangs,Jaden Toombs,11,26,7.81,8.0,1.6,12.5,12.8,7.0,8.62,-1.62,19,0.23,1.0,2.06,16.48,1.336,10.69
Iowa Hawkeyes - Kael Combs,Iowa Hawkeyes,Kael Combs,9,33,5.91,5.91,1.4,8.27,8.27,5.05,7.23,-2.18,18,0.45,1.36,1.74,10.28,1.791,10.58
Kentucky Wildcats - Jasper Johnson,Kentucky Wildcats,Jasper Johnson,7,33,5.15,5.95,1.9,9.78,11.3,6.52,2.75,3.77,22,0.91,2.67,1.69,10.06,1.777,10.57
High Point Panthers - Scotty Washington,High Point Panthers,Scotty Washington,12,31,8.48,8.74,1.6,13.57,13.98,8.25,8.91,-0.66,19,1.16,2.97,1.07,9.35,1.197,10.46
Akron Zips - Bowen Hardman,Akron Zips,Bowen Hardman,12,32,7.69,8.19,1.6,12.3,13.1,7.68,7.69,-0.01,20,2.22,5.28,1.12,9.17,1.277,10.46
Hofstra Pride - Biggie Patterson,Hofstra Pride,Biggie Patterson,13,28,9.18,8.8,1.2,11.02,10.56,10.92,7.88,3.04,17,1.04,3.5,1.06,9.33,1.188,10.45
