team_player,team_name,player,seed,games_played,ppg,weighted_ppg,exp_games,proj_pts,w_proj_pts,home_ppg,away_ppg,home_away_diff,max_pts_l15,three_pm,three_pa,kenpom_exp_games,kenpom_proj,kenpom_nl_exp_games,kenpom_nl_proj
Ohio State Buckeyes - Bruce Thornton,Ohio State Buckeyes,Bruce Thornton,8,33,20.21,19.44,1.5,30.32,29.16,21.29,18.33,2.95,32,1.82,4.55,1.73,33.63,1.784,34.68
Duke Blue Devils - Caleb Foster,Duke Blue Devils,Caleb Foster,1,31,8.45,7.82,4.3,36.33,33.63,7.26,10.33,-3.07,14,1.26,3.13,5.1,39.88,4.394,34.36
UConn Huskies - Silas Demary Jr.,UConn Huskies,Silas Demary Jr.,2,34,10.88,10.89,3.7,40.26,40.29,10.5,11.58,-1.08,18,0.94,2.26,3.28,35.72,3.155,34.36
Vanderbilt Commodores - Tyler Nickel,Vanderbilt Commodores,Tyler Nickel,5,34,13.47,13.15,2.1,28.29,27.62,14.21,12.53,1.68,30,3.0,7.5,2.68,35.24,2.586,34.01
Miami Hurricanes - Malik Reneau,Miami Hurricanes,Malik Reneau,7,33,18.85,18.01,1.9,35.82,34.22,19.3,18.15,1.15,26,0.73,2.06,1.84,33.14,1.888,34.0
Florida Gators - Urban Klavzar,Florida Gators,Urban Klavzar,1,33,9.67,9.02,4.3,41.58,38.79,10.71,7.83,2.88,20,2.06,5.12,4.11,37.07,3.768,33.99
Houston Cougars - Joseph Tugler,Houston Cougars,Joseph Tugler,2,34,8.44,9.52,3.7,31.23,35.22,8.73,7.92,0.81,20,0.03,0.03,3.82,36.37,3.52,33.51
Kansas Jayhawks - Tre White,Kansas Jayhawks,Tre White,4,33,13.85,13.28,2.6,36.01,34.53,14.47,13.0,1.47,23,1.7,4.03,2.49,33.07,2.503,33.24
Michigan State Spartans - Carson Cooper,Michigan State Spartans,Carson Cooper,3,32,10.75,10.87,3.0,32.25,32.61,11.42,9.77,1.65,20,0.03,0.12,3.12,33.91,2.986,32.46
Houston Cougars - Chris Cenac Jr.,Houston Cougars,Chris Cenac Jr.,2,34,9.47,9.22,3.7,35.04,34.11,10.05,8.42,1.63,17,0.85,2.47,3.82,35.22,3.52,32.45
Nebraska Cornhuskers - Braden Frager,Nebraska Cornhuskers,Braden Frager,4,30,11.57,11.98,2.6,30.08,31.15,11.9,10.78,1.13,21,1.63,4.7,2.64,31.63,2.697,32.31
St. John's Red Storm - Bryce Hopkins,St. John's Red Storm,Bryce Hopkins,5,34,13.47,12.97,2.1,28.29,27.24,12.81,14.54,-1.73,23,0.68,2.26,2.54,32.94,2.47,32.04
Kansas Jayhawks - Flory Bidunga,Kansas Jayhawks,Flory Bidunga,4,33,13.52,12.72,2.6,35.15,33.07,15.84,10.36,5.48,23,0.0,0.06,2.49,31.67,2.503,31.84
Virginia Cavaliers - Sam Lewis,Virginia Cavaliers,Sam Lewis,3,34,10.76,11.37,3.0,32.28,34.11,11.32,9.75,1.57,21,1.74,4.26,2.81,31.95,2.799,31.82
Miami Hurricanes - Tre Donaldson,Miami Hurricanes,Tre Donaldson,7,33,16.48,16.5,1.9,31.31,31.35,17.5,14.92,2.58,32,1.61,4.67,1.84,30.36,1.888,31.15
Iowa State Cyclones - Blake Buchanan,Iowa State Cyclones,Blake Buchanan,2,34,8.44,8.63,3.7,31.23,31.93,9.76,6.31,3.45,17,0.0,0.03,3.85,33.23,3.572,30.83
North Carolina Tar Heels - Henri Veesaar,North Carolina Tar Heels,Henri Veesaar,6,30,16.73,16.87,2.0,33.46,33.74,17.3,15.6,1.7,28,1.23,2.93,1.74,29.35,1.811,30.55
Saint Mary's Gaels - Mikey Lewis,Saint Mary's Gaels,Mikey Lewis,7,31,14.26,16.26,1.9,27.09,30.89,17.12,10.79,6.33,31,2.13,5.68,1.8,29.27,1.878,30.54
Alabama Crimson Tide - Latrell Wrightsell,Alabama Crimson Tide,Latrell Wrightsell,4,24,12.75,11.92,2.6,33.15,30.99,11.73,14.44,-2.71,25,2.71,7.58,2.58,30.75,2.54,30.28
Kansas Jayhawks - Melvin Council Jr.,Kansas Jayhawks,Melvin Council Jr.,4,33,12.91,12.02,2.6,33.57,31.25,11.79,14.43,-2.64,18,1.09,3.48,2.49,29.93,2.503,30.09
Kentucky Wildcats - Otega Oweh,Kentucky Wildcats,Otega Oweh,7,34,18.18,16.93,1.9,34.54,32.17,18.27,18.0,0.27,23,1.21,3.59,1.69,28.61,1.777,30.08
Louisville Cardinals - J'Vonne Hadley,Louisville Cardinals,J'Vonne Hadley,6,32,11.84,12.84,2.0,23.68,25.68,11.0,12.93,-1.93,19,1.12,2.47,2.31,29.66,2.304,29.58
Duke Blue Devils - Dame Sarr,Duke Blue Devils,Dame Sarr,1,34,6.26,6.68,4.3,26.92,28.72,5.5,7.67,-2.17,16,1.09,3.47,5.1,34.07,4.394,29.35
Utah State Aggies - MJ Collins Jr.,Utah State Aggies,MJ Collins Jr.,9,33,17.42,17.8,1.4,24.39,24.92,16.68,18.43,-1.74,40,2.24,6.33,1.57,27.95,1.642,29.23
Wisconsin Badgers - Nolan Winter,Wisconsin Badgers,Nolan Winter,5,30,13.27,12.26,2.1,27.87,25.75,14.11,12.0,2.11,26,1.03,3.1,2.36,28.93,2.366,29.01
Ohio State Buckeyes - John Mobley Jr.,Ohio State Buckeyes,John Mobley Jr.,8,30,15.7,16.14,1.5,23.55,24.21,17.32,12.91,4.41,28,3.13,7.5,1.73,27.92,1.784,28.79
Arkansas Razorbacks - Billy Richmond III,Arkansas Razorbacks,Billy Richmond III,4,34,11.03,10.49,2.6,28.68,27.27,10.46,12.4,-1.94,18,0.38,1.56,2.73,28.64,2.727,28.61
Purdue Boilermakers - C.J. Cox,Purdue Boilermakers,C.J. Cox,2,35,8.31,8.14,3.7,30.75,30.12,7.38,9.71,-2.33,27,1.57,4.31,3.75,30.52,3.503,28.51
Georgia Bulldogs - Jeremiah Wilkinson,Georgia Bulldogs,Jeremiah Wilkinson,8,30,17.0,16.88,1.5,25.5,25.32,17.75,15.5,2.25,26,2.4,6.87,1.62,27.35,1.672,28.22
Michigan Wolverines - Roddy Gayle Jr.,Michigan Wolverines,Roddy Gayle Jr.,1,33,7.03,6.41,4.3,30.23,27.56,8.29,4.83,3.45,15,0.39,1.55,4.82,30.9,4.392,28.15
UCLA Bruins - Trent Perry,UCLA Bruins,Trent Perry,7,33,12.73,13.6,1.9,24.19,25.84,13.14,12.0,1.14,25,1.42,3.45,2.01,27.34,2.041,27.76
UCLA Bruins - Donovan Dent,UCLA Bruins,Donovan Dent,7,33,13.45,13.56,1.9,25.55,25.76,13.95,12.69,1.26,30,0.52,1.97,2.01,27.26,2.041,27.68
Alabama Crimson Tide - Aiden Sherrell,Alabama Crimson Tide,Aiden Sherrell,4,31,11.1,10.81,2.6,28.86,28.11,10.57,12.2,-1.63,21,0.71,2.19,2.58,27.89,2.54,27.46
Gonzaga Bulldogs - Davis Fogle,Gonzaga Bulldogs,Davis Fogle,3,28,8.43,8.91,3.0,25.29,26.73,9.41,6.91,2.5,18,0.46,1.25,3.13,27.89,3.079,27.43
Missouri Tigers - Mark Mitchell,Missouri Tigers,Mark Mitchell,10,32,18.31,18.51,1.6,29.3,29.62,19.53,16.54,2.99,32,0.5,1.41,1.32,24.43,1.468,27.17
Duke Blue Devils - Nikolas Khamenia,Duke Blue Devils,Nikolas Khamenia,1,34,5.82,6.18,4.3,25.03,26.57,6.41,4.75,1.66,14,0.94,2.76,5.1,31.52,4.394,27.15
