rnd,game_id,team_id,team_name,home_away_indictor,opp_id,opp_name,player,MIN,PTS,FGM,FGA,TREY_M,TREY_A,FTM,FTA,REB,AST,TO,STL,BLK,OREB,DREB,PF
1,401856489,158,Nebraska Cornhuskers,1,2653,Troy Trojans,Sam Hoiberg,32,4,2,4,0,1,0,0,9,4,2,1,0,1,8,2
1,401856489,158,Nebraska Cornhuskers,1,2653,Troy Trojans,Leo Curtis,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
1,401856489,158,Nebraska Cornhuskers,1,2653,Troy Trojans,Justin Bolis,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,401856489,158,Nebraska Cornhuskers,1,2653,Troy Trojans,Braden Frager,26,13,5,15,2,10,1,1,3,4,0,2,0,1,2,1
1,401856489,158,Nebraska Cornhuskers,1,2653,Troy Trojans,Jared Garcia,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,401856489,158,Nebraska Cornhuskers,1,2653,Troy Trojans,Kendall Blue,2,0,0,2,0,1,0,0,1,0,0,1,0,1,0,0
1,401856489,158,Nebraska Cornhuskers,1,2653,Troy Trojans,Cale Jacobsen,15,3,1,1,1,1,0,0,2,0,0,0,0,0,2,3
1,401856480,2272,High Point Panthers,0,-1,UNKNOWN,Owen Aquino,36,11,3,8,1,2,4,4,6,3,0,0,2,2,4,2
1,401856480,2272,High Point Panthers,0,-1,UNKNOWN,Braden Hausen,16,6,2,3,2,3,0,0,0,0,0,0,0,0,0,0
1,401856480,2272,High Point Panthers,0,-1,UNKNOWN,Terry Anderson,30,15,7,15,1,6,0,0,11,1,1,3,1,5,6,2
1,401856480,2272,High Point Panthers,0,-1,UNKNOWN,Rob Martin,36,23,9,23,4,10,1,2,3,10,1,0,2,1,2,4
1,401856480,2272,High Point Panthers,0,-1,UNKNOWN,Scotty Washington,9,0,0,2,0,1,0,0,1,0,0,0,0,1,0,2
1,401856480,2272,High Point Panthers,0,-1,UNKNOWN,Youssouf Singare,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,401856480,2272,High Point Panthers,0,-1,UNKNOWN,Cam'Ron Fletcher,33,14,5,12,3,8,1,3,11,1,3,2,0,1,10,1
1,401856480,2272,High Point Panthers,0,-1,UNKNOWN,Conrad Martinez,13,0,0,4,0,4,0,0,0,3,0,0,0,0,0,1
1,401856480,2272,High Point Panthers,0,-1,UNKNOWN,Chase Johnston,22,14,5,7,4,6,0,0,2,0,1,1,0,0,2,3
